#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string
#default,last,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,container_image,container_name,container_status,container_version,engine_host,host,server_version,source
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:11:00Z,294260736,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:11:15Z,298450944,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:11:30Z,292909056,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:11:45Z,340758528,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:12:00Z,84480000,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:12:15Z,238706688,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:19:45Z,139087872,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:20:00Z,120975360,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:20:15Z,146927616,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:20:30Z,52174848,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:20:45Z,58798080,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:21:00Z,103944192,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:21:15Z,168284160,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,2,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:23:00Z,210456576,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,37433060c343
,,2,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:23:15Z,230326272,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,37433060c343
,,3,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:13:15Z,425103360,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,3cebe5c9d3c3
,,3,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:13:30Z,1012408320,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,3cebe5c9d3c3
,,3,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:13:45Z,209375232,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,3cebe5c9d3c3
,,3,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:14:00Z,815603712,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,3cebe5c9d3c3
,,3,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:14:15Z,1216917504,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,3cebe5c9d3c3
,,3,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:14:30Z,422805504,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,3cebe5c9d3c3
,,4,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:16:45Z,180043776,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,66a6e0affd1b
,,4,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:17:00Z,206401536,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,66a6e0affd1b
,,4,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:17:15Z,157876224,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,66a6e0affd1b
,,4,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:17:30Z,101511168,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,66a6e0affd1b
,,4,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:17:45Z,87588864,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,66a6e0affd1b
,,4,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:18:00Z,140034048,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,66a6e0affd1b
,,4,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:18:15Z,121651200,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,66a6e0affd1b
,,5,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:23:30Z,147603456,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,6ef0f3f90170
,,5,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:23:45Z,56229888,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,6ef0f3f90170
,,6,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:21:45Z,50282496,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,96bb547b5182
,,6,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:22:00Z,43524096,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,96bb547b5182
,,6,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:22:15Z,63258624,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,96bb547b5182
,,6,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:22:30Z,57581568,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,96bb547b5182
,,6,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:22:45Z,72314880,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,96bb547b5182
,,7,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:24:15Z,83128320,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,97ae3085ce84
,,7,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:24:30Z,10813440,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,97ae3085ce84
,,8,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:15:00Z,48254976,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,ddb5bf7b9306
,,8,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:15:15Z,140304384,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,ddb5bf7b9306
,,8,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:15:30Z,151117824,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,ddb5bf7b9306
,,8,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:15:45Z,130977792,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,ddb5bf7b9306
,,8,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:16:00Z,106242048,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,ddb5bf7b9306
,,8,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:16:15Z,111919104,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,ddb5bf7b9306
,,8,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:16:30Z,75829248,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,ddb5bf7b9306

