table,_start,_stop,_time,_value,_field,engine_host,source
0,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:50:00Z,403451176,active_anon,cloud,06yu48dg43c0
0,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:50:15Z,404099271,active_anon,cloud,06yu48dg43c0
0,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:50:30Z,401029437,active_anon,cloud,06yu48dg43c0
0,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:50:45Z,401959559,active_anon,cloud,06yu48dg43c0
0,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:51:00Z,457824661,active_anon,cloud,06yu48dg43c0
0,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:51:15Z,448051201,active_anon,cloud,06yu48dg43c0
3,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:52:15Z,425103360,active_anon,cloud,78sgs783v50f
3,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:52:30Z,504059494,active_anon,cloud,78sgs783v50f
3,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:52:45Z,564844927,active_anon,cloud,78sgs783v50f
3,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:53:00Z,576760617,active_anon,cloud,78sgs783v50f
3,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:53:15Z,595875625,active_anon,cloud,78sgs783v50f
3,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:53:30Z,609160159,active_anon,cloud,78sgs783v50f
8,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:54:00Z,626412965,active_anon,cloud,hhr94d390br3d
8,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:54:15Z,634211852,active_anon,cloud,hhr94d390br3d
8,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:54:30Z,650067699,active_anon,cloud,hhr94d390br3d
8,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:54:45Z,659704565,active_anon,cloud,hhr94d390br3d
8,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:55:00Z,687652978,active_anon,cloud,hhr94d390br3d
8,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:55:15Z,690468725,active_anon,cloud,hhr94d390br3d
8,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:55:30Z,676103324,active_anon,cloud,hhr94d390br3d
4,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:55:45Z,672414067,active_anon,cloud,78tyasdh873e
4,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:56:00Z,697626476,active_anon,cloud,78tyasdh873e
4,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:56:15Z,675035682,active_anon,cloud,78tyasdh873e
4,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:56:30Z,676668683,active_anon,cloud,78tyasdh873e
4,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:56:45Z,558897470,active_anon,cloud,78tyasdh873e
4,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:57:00Z,542579704,active_anon,cloud,78tyasdh873e
4,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:57:15Z,551584437,active_anon,cloud,78tyasdh873e
1,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:58:45Z,520828640,active_anon,cloud,89dds784e89
1,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:59:00Z,505337336,active_anon,cloud,89dds784e89
1,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:59:15Z,536449021,active_anon,cloud,89dds784e89
1,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:59:30Z,530632328,active_anon,cloud,89dds784e89
1,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T11:59:45Z,540632328,active_anon,cloud,89dds784e89
1,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:00:00Z,539189414,active_anon,cloud,89dds784e89
1,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:00:15Z,461185606,active_anon,cloud,89dds784e89
6,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:00:45Z,441250489,active_anon,cloud,786da76td563e
6,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:01:00Z,375168911,active_anon,cloud,786da76td563e
6,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:01:15Z,316109562,active_anon,cloud,786da76td563e
6,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:01:30Z,202033199,active_anon,cloud,786da76td563e
6,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:01:45Z,220723834,active_anon,cloud,786da76td563e
2,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:02:00Z,210456576,active_anon,cloud,d89ds34r4f43
2,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:02:15Z,230326272,active_anon,cloud,d89ds34r4f43
5,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:02:30Z,237404114,active_anon,cloud,789ey23gd23v
5,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:02:45Z,265302188,active_anon,cloud,789ey23gd23v
7,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:03:15Z,263781956,active_anon,cloud,dd3df64f45f3
7,2021-08-18T11:41:52.043511267Z,2021-08-18T12:41:52.043511267Z,2021-08-18T12:03:30Z,212425279,active_anon,cloud,dd3df64f45f3